AuctionID;Price;Connect2ItemPrice
3;29,90;1
4;16,90;1
6;44,90;1
8;18,90;1
9;74,90;1
15;9,90;1
16;7,95;1
20;13,90;1
22;15,90;1
24;33,90;1
25;52,40;1
28;39,90;1
29;4,90;1
35;7,79;1
37;32,90;1
38;46,50;1
45;57,90;1
46;42,90;1
48;16,19;1
49;7,99;1
53;157,50;1
54;12,90;1
56;37,90;1
60;19,10;1
61;32,50;1
62;51,90;1
63;15,90;1
67;6,90;1
68;6,90;1
70;62,80;1
74;4,50;1
75;11,90;1
76;90,90;1
80;19,89;1
90;28,50;1
91;27,90;1
93;1,99;1
94;31,90;1
97;19,50;1
99;3,10;1
101;27,90;1
105;64,50;1
107;9,90;1
117;18,90;1
118;15,90;1
120;41,90;1
127;12,90;1
128;16,90;1
133;10,50;1
134;15,90;1
136;22,90;1
137;74,90;1
141;6,99;1
143;4,70;1
146;2,80;1
161;7,99;1
166;43,90;1
167;53,90;1
168;57,50;1
169;32,90;1
170;39,70;1
172;83,50;1
174;48,90;1
175;49,50;1
176;65,90;1
177;63,50;1
178;79,90;1
179;26,90;1
180;23,90;1
267;2,99;1
268;4,50;1
269;3,99;1
270;4,50;1
271;2,99;1
272;2,99;1
273;2,50;1
274;4,40;1
291;2,50;1
294;2,20;1
296;10,90;1
299;6,99;1
300;2,40;1
306;4,50;1
309;6,90;1
310;23,90;1
317;9,90;1
353;6,89;1
366;3,99;1
374;72,90;1
375;89,90;1
376;14,90;1
377;4,90;1
394;6,90;1
395;6,20;1
396;6,50;1
397;8,50;1
398;5,99;1
399;6,99;1
400;9,99;1
401;1,70;1
402;27,90;1
410;43,90;1
429;51,90;1
433;37,50;1
437;13,90;1
450;2,20;1
451;4,80;1
452;2,50;1
457;85,90;1
458;38,90;1
463;24,90;1
471;14,50;1
472;47,90;1
473;11,55;1
474;89,00;1
475;31,00;1
479;4,50;1
480;12,90;1
481;16,90;1
482;37,99;1
503;18,90;1
504;6,39;1
510;58,90;1
514;23,90;1
515;17,90;1
520;9,30;1
521;47,90;1
524;48,90;1
526;6,99;1
528;28,90;1
538;13,90;1
539;20,90;1
540;13,90;1
541;37,90;1
542;12,79;1
543;25,50;1
544;20,90;1
545;26,90;1
548;30,90;1
554;60,90;1
555;8,39;1
556;69,90;1
557;10,89;1
559;6,90;1
560;11,40;1
561;5,49;1
563;33,50;1
564;25,90;1
566;48,90;1
567;16,90;1
568;20,50;1
569;75,50;1
571;6,29;1
573;9,99;1
574;24,90;1
575;14,29;1
576;5,79;1
577;9,89;1
578;5,70;1
579;4,90;1
580;5,50;1
581;2,70;1
582;12,90;1
583;7,90;1
584;7,69;1
585;17,50;1
586;2,00;1
587;6,49;1
588;9,20;1
589;6,59;1
590;12,50;1
591;13,70;1
593;7,99;1
594;25,50;1
595;7,99;1
596;19,50;1
597;2,99;1
598;17,90;1
599;8,90;1
600;23,90;1
601;4,90;1
602;3,70;1
608;7,99;1
609;7,50;1
610;8,50;1
611;9,60;1
619;7,50;1
620;6,90;1
621;6,90;1
622;17,90;1
623;10,80;1
626;7,99;1
627;12,90;1
628;27,69;1
633;17,59;1
635;8,90;1
636;5,90;1
637;6,90;1
638;4,50;1
643;19,90;1
649;21,90;1
650;23,90;1
653;6,40;1
655;13,90;1
656;15,90;1
657;21,90;1
658;6,70;1
659;21,90;1
660;21,90;1
661;17,90;1
662;30,69;1
663;14,29;1
664;28,69;1
667;19,10;1
668;4,00;1
670;14,90;1
671;2,87;1
672;8,90;1
673;28,99;1
676;5,80;1
677;10,90;1
678;35,99;1
679;32,99;1
682;29,79;1
683;18,90;1
684;4,20;1
685;17,90;1
686;10,90;1
687;10,90;1
689;13,90;1
690;13,90;1
691;19,90;1
692;7,30;1
693;15,90;1
695;6,90;1
696;11,90;1
697;7,90;1
698;7,90;1
699;1,99;1
700;2,10;1
702;7,90;1
703;12,90;1
704;7,90;1
705;12,90;1
706;10,90;1
707;16,90;1
708;1,75;1
709;4,90;1
710;11,90;1
711;2,60;1
712;8,90;1
713;5,50;1
714;6,90;1
715;18,69;1
717;16,90;1
718;27,90;1
719;38,90;1
720;65,90;1
721;17,90;1
722;15,90;1
723;17,90;1
724;12,90;1
725;13,90;1
726;13,90;1
727;9,90;1
728;31,90;1
729;5,90;1
730;11,90;1
731;15,90;1
732;14,90;1
733;15,90;1
734;33,19;1
735;4,80;1
736;1,60;1
737;10,90;1
738;2,60;1
739;9,90;1
740;10,90;1
741;10,90;1
742;2,90;1
743;11,90;1
744;4,80;1
745;10,90;1
746;11,90;1
747;14,90;1
749;41,99;1
750;33,90;1
751;28,99;1
752;2,70;1
753;2,60;1
754;25,90;1
755;23,99;1
756;17,90;1
757;3,39;1
758;1,59;1
759;24,40;1
760;3,79;1
761;25,40;1
762;1,09;1
763;18,90;1
764;7,50;1
765;2,39;1
766;49,90;1
767;1,19;1
768;1,00;1
769;14,90;1
770;21,50;1
771;6,90;1
772;8,40;1
773;68,90;1
774;16,90;1
775;4,30;1
776;25,99;1
777;38,99;1
778;29,80;1
780;25,98;1
781;26,99;1
782;21,90;1
783;21,90;1
786;16,29;1
787;14,90;1
789;23,90;1
790;12,19;1
791;14,90;1
792;12,90;1
793;14,90;1
794;9,49;1
795;13,49;1
796;19,99;1
798;27,99;1
799;31,50;1
800;13,90;1
802;18,90;1
803;39,90;1
804;20,19;1
806;21,90;1
807;6,50;1
808;1,29;1
809;13,90;1
810;1,00;1
811;10,90;1
812;1,69;1
813;18,90;1
814;9,59;1
815;1,49;1
816;15,90;1
817;46,99;1
818;46,99;1
819;46,99;1
820;46,99;1
821;46,99;1
822;33,90;1
823;29,90;1
824;31,90;1
825;28,79;1
826;27,79;1
828;32,99;1
829;30,79;1
830;14,95;1
831;10,39;1
832;21,90;1
833;1,89;1
834;74,90;1
835;3,39;1
836;74,90;1
837;3,89;1
838;15,79;1
840;5,50;1
842;2,90;1
845;2,79;1
846;4,29;1
847;4,50;1
848;2,39;1
849;4,50;1
